id,query
SYN1,What can I make for German breakfast with tuna in under an hour
SYN2,Quick Italian supper with eggs any ideas
SYN3,Low prep French dinner chicken breast suggestions
SYN4,Vietnamese breakfast with salmon ready in less than an hour
SYN5,Easy German dinner with eggs in 20 minutes
SYN6,Italian breakfast with chicken breast quick recipes
SYN7,French supper with tuna under an hour
SYN8,What to cook Vietnamese dinner with salmon in 20 min
SYN9,German supper with eggs fast options
SYN10,Tuna dinner ideas for Italian in less than an hour
SYN11,French breakfast with chicken breast quick ideas
SYN12,Vietnamese supper with eggs low prep time
SYN13,What can I cook German dinner with salmon fast
SYN14,Italian breakfast with eggs quick and easy
SYN15,Low prep French supper with chicken breast suggestions
SYN16,Vietnamese breakfast with tuna ready quickly
SYN17,What to make German supper with salmon in 20 min
SYN18,Italian dinner with eggs low prep quick recipes
SYN19,Quick French breakfast with tuna ideas
SYN20,Vietnamese breakfast with egg in 20 minutes
